"Draw Date","Numbers As Drawn","Numbers In Order","Jackpot","6 of 6","5 of 6","4 of 6","3 of 6"
"11-11-2020","39--33--36--9--44--28","9--28--33--36--39--44","$1.90 Million",0,6,477,7512
"11-07-2020","5--36--28--40--32--13","5--13--28--32--36--40","$1.80 Million",0,8,497,7811
"11-04-2020","21--1--17--42--37--43","1--17--21--37--42--43","$1.70 Million",0,9,485,7610
"10-31-2020","15--21--23--19--14--22","14--15--19--21--22--23","$1.60 Million",0,11,490,7997
"10-28-2020","24--36--43--6--41--28","6--24--28--36--41--43","$1.50 Million",0,15,420,7083
"10-24-2020","7--31--44--40--24--18","7--18--24--31--40--44","$1.40 Million",0,5,475,8038
"10-21-2020","44--8--13--11--39--18","8--11--13--18--39--44","$1.30 Million",0,15,500,7548
"10-17-2020","41--26--20--17--38--1","1--17--20--26--38--41","$1.20 Million",0,11,456,7331
"10-14-2020","20--3--27--44--13--37","3--13--20--27--37--44","$1.10 Million",0,9,444,7250
"10-10-2020","30--2--36--1--24--28","1--2--24--28--30--36","$1.00 Million",0,12,510,7622
"10-07-2020","3--42--36--5--13--41","3--5--13--36--41--42","$6.90 Million",1,23,1140,18828
"10-03-2020","23--33--44--17--38--6","6--17--23--33--38--44","$6.80 Million",0,25,1114,18375
"09-30-2020","1--42--26--19--20--24","1--19--20--24--26--42","$6.70 Million",0,20,1045,17451
"09-26-2020","1--5--20--23--19--2","1--2--5--19--20--23","$6.60 Million",0,24,1098,18381
"09-23-2020","8--5--10--34--38--27","5--8--10--27--34--38","$6.50 Million",0,17,1068,17654
"09-19-2020","26--25--12--19--31--42","12--19--25--26--31--42","$6.40 Million",0,16,1109,17986
"09-16-2020","4--25--36--24--39--3","3--4--24--25--36--39","$6.30 Million",0,17,1043,17509
"09-12-2020","30--3--7--1--15--6","1--3--6--7--15--30","$6.20 Million",0,25,1229,18691
"09-09-2020","8--31--37--1--43--2","1--2--8--31--37--43","$6.10 Million",0,19,956,16436
"09-05-2020","43--25--7--17--15--6","6--7--15--17--25--43","$6.00 Million",0,25,1104,17660
"09-02-2020","9--14--29--38--21--17","9--14--17--21--29--38","$5.90 Million",0,29,1032,16827
"08-29-2020","41--8--30--10--31--5","5--8--10--30--31--41","$5.80 Million",0,13,1019,16762
"08-26-2020","1--8--7--39--28--41","1--7--8--28--39--41","$5.70 Million",0,18,1084,16163
"08-22-2020","30--6--18--29--41--40","6--18--29--30--40--41","$5.60 Million",0,23,995,16238
"08-19-2020","16--1--2--13--42--22","1--2--13--16--22--42","$5.50 Million",0,19,916,15567
"08-15-2020","44--16--30--36--41--13","13--16--30--36--41--44","$5.40 Million",0,16,917,15306
"08-12-2020","14--20--23--36--44--32","14--20--23--32--36--44","$5.30 Million",0,22,885,14795
"08-08-2020","27--9--21--7--4--33","4--7--9--21--27--33","$5.20 Million",0,17,1017,16243
"08-05-2020","36--34--18--13--6--28","6--13--18--28--34--36","$5.10 Million",0,23,905,14689
"08-01-2020","20--36--15--13--32--18","13--15--18--20--32--36","$5.00 Million",0,27,881,14458
"07-29-2020","41--6--33--8--9--13","6--8--9--13--33--41","$4.90 Million",0,21,883,14059
"07-25-2020","32--12--30--37--10--23","10--12--23--30--32--37","$4.80 Million",0,29,859,13786
"07-22-2020","5--42--10--24--11--36","5--10--11--24--36--42","$4.70 Million",0,18,850,13547
"07-18-2020","42--27--1--41--43--8","1--8--27--41--42--43","$4.60 Million",0,19,849,13553
"07-15-2020","28--32--37--44--11--20","11--20--28--32--37--44","$4.50 Million",0,20,744,12923
