Draw Date	Numbers As Drawn	Numbers In Order	Jackpot	6 of 6	5 of 6	4 of 6	3 of 6
18-Sep-02	6:23:25:37:39:44	6:23:25:37:39:44	$2.3 Million	0	18	754	12379
21-Sep-02	6:24:25:26:30:41	6:24:25:26:30:41	$2.4 Million	0	12	774	13499
25-Sep-02	3:11:30:32:36:43	3:11:30:32:36:43	$2.5 Million	0	19	754	12686
28-Sep-02	1:9:28:31:33:37	1:9:28:31:33:37	$2.6 Million	0	20	803	13944
2-Oct-02	8:17:33:34:40:44	8:17:33:34:40:44	$2.7 Million	0	15	733	12623
5-Oct-02	12:13:26:27:41:43	12:13:26:27:41:43	$2.9 Million	0	27	869	14227
9-Oct-02	2:6:13:24:29:42	2:6:13:24:29:42	$3.1 Million	1	20	892	13836
12-Oct-02	3:5:11:19:30:31	3:5:11:19:30:31	$1.0 Million	0	21	987	14396
16-Oct-02	22:25:26:29:38:39	22:25:26:29:38:39	$1.1 Million	0	22	604	10124
19-Oct-02	1:6:8:24:27:39	1:6:8:24:27:39	$1.2 Million	0	18	789	12875
23-Oct-02	1:9:14:19:37:40	1:9:14:19:37:40	$1.3 Million	0	8	725	11332
26-Oct-02	1:4:6:18:19:35	1:4:6:18:19:35	$1.4 Million	0	11	813	13363
30-Oct-02	6:7:11:28:30:41	6:7:11:28:30:41	$1.5 Million	0	14	775	12348
2-Nov-02	6:8:12:16:31:44	6:8:12:16:31:44	$1.6 Million	0	23	835	13772
6-Nov-02	5:12:20:21:36:39	5:12:20:21:36:39	$1.7 Million	0	18	731	11928
9-Nov-02	2:6:24:25:39:40	2:6:24:25:39:40	$1.8 Million	0	16	787	12517
13-Nov-02	7:17:21:36:37:42	7:17:21:36:37:42	$1.9 Million	0	19	706	11883
16-Nov-02	15:25:31:32:34:40	15:25:31:32:34:40	$2.0 Million	0	16	721	12048
20-Nov-02	1:9:13:14:18:27	1:9:13:14:18:27	$2.1 Million	0	21	847	12838
23-Nov-02	9:21:27:32:37:41	9:21:27:32:37:41	$2.2 Million	0	19	847	13334
27-Nov-02	10:18:25:26:30:37	10:18:25:26:30:37	$2.3 Million	0	15	727	13011
30-Nov-02	3:7:27:31:36:40	3:7:27:31:36:40	$2.4 Million	1	25	823	13634
4-Dec-02	8:11:18:19:36:37	8:11:18:19:36:37	$1.0 Million	0	7	665	10621
7-Dec-02	8:10:15:19:31:42	8:10:15:19:31:42	$1.1 Million	0	15	789	12615
11-Dec-02	5:14:27:30:36:40	5:14:27:30:36:40	$1.2 Million	0	21	704	11791
14-Dec-02	10:18:30:37:39:41	10:18:30:37:39:41	$1.3 Million	0	19	759	13137
18-Dec-02	14:21:24:25:27:36	14:21:24:25:27:36	$1.4 Million	0	23	800	13217
21-Dec-02	1:7:9:21:30:37	1:7:9:21:30:37	$1.5 Million	0	26	1129	17899
25-Dec-02	4:12:17:18:29:34	4:12:17:18:29:34	$1.6 Million	0	20	1040	16470
28-Dec-02	2:9:13:28:38:44	2:9:13:28:38:44	$1.7 Million	0	25	811	13795
1-Jan-03	11:12:13:21:39:43	11:12:13:21:39:43	$1.8 Million	0	11	843	14451
4-Jan-03	3:22:23:39:41:44	3:22:23:39:41:44	$1.9 Million	0	23	907	14570
8-Jan-03	5:9:10:22:28:39	5:9:10:22:28:39	$2.0 Million	0	22	929	14356
11-Jan-03	12:16:21:24:29:42	12:16:21:24:29:42	$2.1 Million	0	20	917	15164
15-Jan-03	19:22:24:33:40:41	19:22:24:33:40:41	$2.4 Million	0	17	815	13585
18-Jan-03	7:14:18:19:32:36	7:14:18:19:32:36	$2.6 Million	0	24	929	14524
22-Jan-03	19:26:27:31:32:38	19:26:27:31:32:38	$2.7 Million	0	16	773	12801
25-Jan-03	2:4:9:16:29:31	2:4:9:16:29:31	$3.0 Million	0	19	1039	16153
29-Jan-03	8:9:18:20:32:42	8:9:18:20:32:42	$3.1 Million	0	21	846	14374
1-Feb-03	16:33:34:35:39:44	16:33:34:35:39:44	$3.3 Million	0	17	992	15828
5-Feb-03	5:7:14:18:21:22	5:7:14:18:21:22	$3.6 Million	0	22	1065	17502
8-Feb-03	16:18:23:28:29:42	16:18:23:28:29:42	$3.8 Million	0	26	1021	16516
12-Feb-03	4:6:8:25:28:36	4:6:8:25:28:36	$4.1 Million	0	19	1078	17147
15-Feb-03	5:21:24:26:30:33	5:21:24:26:30:33	$4.3 Million	0	26	1093	18514
19-Feb-03	5:6:19:21:23:32	5:6:19:21:23:32	$4.5 Million	0	23	1114	17719
22-Feb-03	9:20:23:27:34:44	9:20:23:27:34:44	$4.8 Million	0	30	1285	19843
26-Feb-03	6:21:28:35:39:40	6:21:28:35:39:40	$5.0 Million	0	21	1136	18263
1-Mar-03	2:6:10:30:43:44	2:6:10:30:43:44	$5.3 Million	0	33	1436	22351
5-Mar-03	13:16:22:32:35:44	13:16:22:32:35:44	$5.6 Million	0	35	1163	19764
8-Mar-03	2:5:15:20:27:36	2:5:15:20:27:36	$5.9 Million	0	35	1442	23124
12-Mar-03	3:9:11:13:23:38	3:9:11:13:23:38	$6.2 Million	0	40	1488	22990
15-Mar-03	5:7:14:18:32:43	5:7:14:18:32:43	$6.5 Million	1	28	1457	22904
19-Mar-03	1:12:18:19:22:41	1:12:18:19:22:41	$1.0 Million	0	9	867	13067
22-Mar-03	4:10:16:27:31:41	4:10:16:27:31:41	$1.1 Million	0	20	875	13270
26-Mar-03	3:5:10:20:37:44	3:5:10:20:37:44	$1.2 Million	0	22	802	12911
29-Mar-03	8:12:18:21:25:33	8:12:18:21:25:33	$1.3 Million	0	23	882	14008
2-Apr-03	9:10:14:22:29:31	9:10:14:22:29:31	$1.4 Million	1	14	772	12525
5-Apr-03	2:4:19:25:29:39	2:4:19:25:29:39	$1.0 Million	0	24	867	13574
9-Apr-03	2:23:29:31:37:40	2:23:29:31:37:40	$1.1 Million	0	14	654	10863
12-Apr-03	5:6:10:25:34:43	5:6:10:25:34:43	$1.2 Million	0	20	784	12970
16-Apr-03	15:18:22:24:27:35	15:18:22:24:27:35	$1.3 Million	0	11	689	11383
19-Apr-03	1:18:22:24:41:43	1:18:22:24:41:43	$1.4 Million	0	17	805	12878
23-Apr-03	13:15:16:24:35:40	13:15:16:24:35:40	$1.5 Million	0	10	683	10918
26-Apr-03	7:16:22:27:35:39	7:16:22:27:35:39	$1.6 Million	0	16	809	13304
30-Apr-03	15:16:30:31:35:42	15:16:30:31:35:42	$1.7 Million	0	9	692	11253
3-May-03	6:9:15:16:20:34	6:9:15:16:20:34	$1.8 Million	1	17	872	14091
7-May-03	15:20:27:28:30:40	15:20:27:28:30:40	$1.0 Million	0	12	652	11243
10-May-03	8:9:31:38:39:44	8:9:31:38:39:44	$1.1 Million	0	8	726	11978
14-May-03	2:13:18:20:26:41	2:13:18:20:26:41	$1.2 Million	0	17	663	11183
17-May-03	2:12:14:17:19:26	2:12:14:17:19:26	$1.3 Million	0	27	834	13608
21-May-03	11:17:22:36:38:41	11:17:22:36:38:41	$1.4 Million	0	15	665	11207
24-May-03	12:13:18:22:31:37	12:13:18:22:31:37	$1.5 Million	1	15	870	13246
28-May-03	9:27:30:41:42:43	9:27:30:41:42:43	$1.0 Million	0	13	590	10047
31-May-03	3:21:24:25:26:33	3:21:24:25:26:33	$1.1 Million	0	9	794	12478
4-Jun-03	9:12:20:22:28:29	9:12:20:22:28:29	$1.2 Million	0	22	764	12265
7-Jun-03	15:16:19:22:28:30	15:16:19:22:28:30	$1.3 Million	0	16	786	13001
11-Jun-03	12:14:17:35:38:40	12:14:17:35:38:40	$1.4 Million	0	14	650	11002
14-Jun-03	2:3:11:33:38:44	2:3:11:33:38:44	$1.5 Million	0	17	865	13678
18-Jun-03	10:14:18:28:32:38	10:14:18:28:32:38	$1.6 Million	0	12	773	11933
21-Jun-03	1:6:10:13:17:32	1:6:10:13:17:32	$1.7 Million	0	15	944	14293
25-Jun-03	19:22:23:24:35:40	19:22:23:24:35:40	$1.8 Million	0	9	754	12013
28-Jun-03	5:7:14:20:32:34	5:7:14:20:32:34	$1.9 Million	0	18	889	14849
2-Jul-03	9:20:25:31:37:41	9:20:25:31:37:41	$2.0 Million	0	25	861	14587
5-Jul-03	6:11:23:25:43:44	6:11:23:25:43:44	$2.1 Million	0	17	1040	17412
9-Jul-03	5:8:29:36:38:40	5:8:29:36:38:40	$2.2 Million	0	16	1088	18799
12-Jul-03	15:19:25:27:29:39	15:19:25:27:29:39	$2.4 Million	0	25	1020	16088
16-Jul-03	1:2:8:9:32:37	1:2:8:9:32:37	$2.7 Million	0	12	896	15350
19-Jul-03	4:9:25:26:40:43	4:9:25:26:40:43	$2.9 Million	0	19	1009	16073
23-Jul-03	7:20:24:35:36:42	7:20:24:35:36:42	$3.0 Million	0	14	987	15584
26-Jul-03	11:15:17:18:27:33	11:15:17:18:27:33	$3.2 Million	0	26	1092	17501
30-Jul-03	19:21:28:30:34:43	19:21:28:30:34:43	$3.5 Million	0	10	1026	16477
2-Aug-03	11:18:25:30:35:40	11:18:25:30:35:40	$3.7 Million	0	24	1204	18460
6-Aug-03	1:5:12:25:26:44	1:5:12:25:26:44	$3.9 Million	1	23	1156	18447
9-Aug-03	6:10:31:37:39:44	6:10:31:37:39:44	$1.0 Million	0	18	797	13916
13-Aug-03	1:8:15:27:38:43	1:8:15:27:38:43	$1.1 Million	0	13	811	12643
16-Aug-03	3:5:23:29:39:42	3:5:23:29:39:42	$1.2 Million	0	15	846	14199
20-Aug-03	7:29:31:32:33:35	7:29:31:32:33:35	$1.3 Million	0	17	747	11775
23-Aug-03	7:14:19:21:28:44	7:14:19:21:28:44	$1.4 Million	0	30	1210	15710
27-Aug-03	1:7:10:26:28:40	1:7:10:26:28:40	$1.5 Million	0	21	888	14137
30-Aug-03	9:23:25:28:35:40	9:23:25:28:35:40	$1.6 Million	0	20	887	14840
3-Sep-03	4:5:6:16:30:43	4:5:6:16:30:43	$1.7 Million	0	12	832	12995
6-Sep-03	3:5:9:13:15:30	3:5:9:13:15:30	$1.8 Million	0	33	1140	17028
10-Sep-03	6:16:18:23:39:42	6:16:18:23:39:42	$1.9 Million	0	17	738	13000
13-Sep-03	4:5:6:8:18:37	4:5:6:8:18:37	$2.0 Million	0	17	1010	16149
17-Sep-03	5:15:25:31:34:39	5:15:25:31:34:39	$2.1 Million	0	20	832	13478
20-Sep-03	7:13:14:29:34:39	7:13:14:29:34:39	$2.2 Million	0	15	939	14934
24-Sep-03	14:16:26:30:40:43	14:16:26:30:40:43	$2.3 Million	0	20	782	13041
27-Sep-03	19:21:27:32:37:40	19:21:27:32:37:40	$2.5 Million	1	20	927	14750
1-Oct-03	5:6:26:31:41:43	5:6:26:31:41:43	$1.0 Million	0	17	714	11543
4-Oct-03	7:14:27:35:43:44	7:14:27:35:43:44	$1.1 Million	0	14	794	13435
8-Oct-03	6:13:20:21:31:42	6:13:20:21:31:42	$1.2 Million	0	16	687	12227
11-Oct-03	4:20:26:36:38:39	4:20:26:36:38:39	$1.3 Million	0	16	751	12804
15-Oct-03	2:6:29:32:33:42	2:6:29:32:33:42	$1.4 Million	0	9	707	11600
18-Oct-03	9:11:17:18:26:32	9:11:17:18:26:32	$1.5 Million	0	11	800	13636
22-Oct-03	2:12:23:26:33:39	2:12:23:26:33:39	$1.6 Million	0	20	806	12903
25-Oct-03	11:16:18:30:37:40	11:16:18:30:37:40	$1.7 Million	0	14	922	14664
29-Oct-03	6:10:25:27:30:37	6:10:25:27:30:37	$1.8 Million	0	15	766	13183
1-Nov-03	5:15:17:26:29:39	5:15:17:26:29:39	$1.9 Million	0	17	1013	14363
5-Nov-03	13:19:28:35:43:44	13:19:28:35:43:44	$2.0 Million	0	15	945	14437
8-Nov-03	3:19:29:40:42:44	3:19:29:40:42:44	$2.1 Million	0	18	942	15204
12-Nov-03	9:16:19:20:38:41	9:16:19:20:38:41	$2.2 Million	0	20	818	13294
15-Nov-03	5:13:17:22:25:33	5:13:17:22:25:33	$2.3 Million	0	21	998	15524
19-Nov-03	1:20:25:28:33:36	1:20:25:28:33:36	$2.4 Million	0	12	807	13207
22-Nov-03	13:15:16:18:37:44	13:15:16:18:37:44	$2.6 Million	0	26	836	14964
26-Nov-03	14:18:32:35:39:44	14:18:32:35:39:44	$2.7 Million	0	19	861	13966
29-Nov-03	6:12:26:34:40:41	6:12:26:34:40:41	$3.0 Million	0	20	860	14546
3-Dec-03	9:18:20:32:33:43	9:18:20:32:33:43	$3.1 Million	0	30	817	14308
6-Dec-03	2:4:21:25:42:44	2:4:21:25:42:44	$3.3 Million	0	17	1023	16744
10-Dec-03	1:2:5:8:29:37	1:2:5:8:29:37	$3.4 Million	1	24	1050	16241
13-Dec-03	15:17:20:21:38:41	15:17:20:21:38:41	$1.0 Million	0	15	737	12211
